,,,,,,,,,,,,,CLIENT IDENTIFIER,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,,,,,,,,
,,,,,,,,,,,,,SAMPLE ID,2343457,2343458,2343459,2343460,2343461,2343463,2343464,2343465,2343466,2343467,2343468,2343470,,,,,,,,
,,,,,,,,,,,,,PARENT SAMPLE ID,2107281,2107282,2107283,2107284,2107285,2107286,2107287,2107288,2107289,2107290,2107291,2107292,,,,,,,,
,,,,,,,,,,,,,LC COLUMN,1,2,1,2,1,1,2,1,2,1,2,2,,,,,,,,
,,,,,,,,,,,,,TIME POINT,0h,0h,0h,48h,48h,48h,0h,0h,0h,48h,48h,48h,,,,,,,,
,,,,,,,,,,,,,GROUP CODE,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,
,,,,,,,,,,,,,GROUP DESCRIPTION,cv Sukang,cv Sukang,cv Sukang,cv Sukang,cv Sukang,cv Sukang,cv Baegjoong,cv Baegjoong,cv Baegjoong,cv Baegjoong,cv Baegjoong,cv Baegjoong,,,,,,,,
,,,,,,,,,,,,,GROUP NUMBER,E,E,E,F,F,F,G,G,G,H,H,H,,,,,,,,
,,,,,,,,,,,,,GROUP,SEM_00,SEM_00,SEM_00,SEM_48,SEM_48,SEM_48,BEM_00,BEM_00,BEM_00,BEM_48,BEM_48,BEM_48,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATHWAY ORDER,ALPHA,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,CAS,PUBCHEM,KEGG,PLANT CYC,SUPER PATHWAY,SUB PATHWAY,BIOCHEMICAL,SDSU-00169,SDSU-00170,SDSU-00171,SDSU-00172,SDSU-00173,SDSU-00174,SDSU-00175,SDSU-00176,SDSU-00177,SDSU-00178,SDSU-00179,SDSU-00180,SD of SEM_00,SE of SEM_00,SD of SEM_48,SE of SEM_48,SD of BEM_00,SE of BEM_00,SD of BEM_48,SE of BEM_48
453,1,39796,LC/MS Neg,100003047,1381.3,665.21458,13133-07-8,166775,,NYSTOSE,Carbohydrate,"Sucrose, glucose,fructose metabolism","1,1-kestotetraose",0.8764,0.9703,1.1184,1.1733,1.3257,1.5285,1.5899,1.6958,0.8673,1.2707,0.9434,1.2365,0.0996,0.0575,0.1455,0.0840,0.3681,0.2125,0.1469,0.0848
149,2,1654,GC/MS,48,1633.8,174,109-76-2,428,C00986,CPD-313,Amino acid,Glutamate family (alpha-ketoglutarate derived),"1,3-diaminopropane",0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
584,3,38395,LC/MS Neg,62,5137,313.23843,263399-35-5,10236635,C14829,CPD-13086,Lipids,Oxylipins,"12,13-DiHOME",0.1044,0.0969,0.1712,0.1119,0.1228,0.0904,0.1741,0.2041,0.1478,0.2102,0.1654,0.1083,0.0334,0.0193,0.0135,0.0078,0.0230,0.0133,0.0417,0.0241
581,4,37752,LC/MS Neg,100002196,5275,295.22825,,43013,,,Lipids,Oxylipins,13-HODE + 9-HODE,0.1548,0.1071,0.3312,0.1522,0.1803,0.1019,0.2145,0.1364,0.2490,0.5005,0.2951,0.2336,0.0964,0.0556,0.0324,0.0187,0.0471,0.0272,0.1141,0.0659
595,5,46109,LC/MS Pos,100002836,5365,277.21621,74784-20-6,,,,Lipids,Oxylipins,13-HOTrE,0.0785,0.0988,0.1426,0.0864,0.1037,0.0585,0.1234,0.0585,0.1232,0.2336,0.1006,0.0956,0.0267,0.0154,0.0186,0.0108,0.0305,0.0176,0.0639,0.0369
396,6,22012,LC/MS Neg,100000980,1054,503.16175,470-69-9,440080,C03661,1-KESTOTRIOSE,Carbohydrate,"Sucrose, glucose,fructose metabolism",1-kestose,0.6443,0.6913,0.8067,0.7379,0.8219,0.9539,0.9150,1.2077,0.8426,0.9147,0.9722,0.8120,0.0682,0.0394,0.0889,0.0513,0.1578,0.0911,0.0663,0.0383
625,7,34393,LC/MS Neg,100001435,6214,277.21728,,53480978,,,Lipids,Glycerolipids,1-linolenoylglycerol (18:3),0.2400,0.3815,1.1738,0.2334,0.0565,0.0565,0.2504,0.4827,0.3744,1.0240,0.4313,0.2677,0.4109,0.2372,0.0834,0.0481,0.0949,0.0548,0.3249,0.1876
682,8,45951,LC/MS Pos,100005350,5506,518.32412,,,,,Lipids,Phospholipids,1-linolenoyl-GPC (18:3)*,0.4510,0.6464,0.4635,0.6722,1.0326,1.0806,0.7542,0.5839,0.2620,1.1342,1.4588,1.9409,0.0893,0.0516,0.1823,0.1052,0.2041,0.1178,0.3314,0.1913
606,9,27447,LC/MS Neg,100001040,6477,279.23293,2277-28-3,5283469,,,Lipids,Glycerolipids,1-linoleoylglycerol (18:2),0.6831,0.4603,1.3078,0.2800,0.1975,0.6987,0.4626,0.8593,0.9009,1.5739,0.9254,0.6164,0.3587,0.2071,0.2194,0.1267,0.1975,0.1141,0.3990,0.2304
693,10,43676,LC/MS Neg,100004606,5500,520.26809,,,,,Lipids,Phospholipids,1-linoleoylglycerophosphoserine*,0.1726,0.1083,0.4162,0.1962,0.1920,0.2696,0.2974,0.7673,0.7166,1.2741,1.0000,0.6285,0.1326,0.0766,0.0356,0.0206,0.2106,0.1216,0.2646,0.1527
637,11,34419,LC/MS Pos,100001395,5575.9,520.33977,,11988421,C04100,,Lipids,Phospholipids,1-linoleoyl-GPC (18:2),0.3920,0.6009,0.4450,1.2239,1.9423,1.2798,0.5774,0.5644,0.2908,1.0203,1.7914,2.4517,0.0887,0.0512,0.3263,0.1884,0.1321,0.0763,0.5849,0.3377
638,12,32635,LC/MS Neg,100001570,5900,476.27826,,52925130,,,Lipids,Phospholipids,1-linoleoyl-GPE (18:2)*,0.4570,0.3990,0.9196,0.2878,0.2742,0.3982,0.6057,1.1811,1.1723,2.8550,1.9508,1.2629,0.2329,0.1345,0.0555,0.0321,0.2692,0.1554,0.6520,0.3764
639,13,36594,LC/MS Neg,100001778,5494,595.28888,,,,,Lipids,Phospholipids,1-linoleoyl-GPI (18:2)*,0.2499,0.2115,0.5854,0.2584,0.4244,0.3368,0.3712,0.8955,0.7503,1.9520,1.8200,1.1045,0.1679,0.0970,0.0678,0.0391,0.2210,0.1276,0.3723,0.2150
906,14,1527,LC/MS Pos,54,940,150.07743,5142-22-3,78821,C02216,,Nucleotide,Purine metabolism,1-methyladenine,0.1445,0.2634,0.4052,0.4760,0.8338,0.7158,0.2516,0.4684,0.2670,1.0450,1.5555,0.6666,0.1066,0.0615,0.1489,0.0859,0.0988,0.0570,0.3642,0.2103
608,15,21184,LC/MS Neg,100000924,6794,281.24858,111-03-5,5283468,,,Lipids,Glycerolipids,1-oleoylglycerol (18:1),0.5441,0.5918,1.1406,0.4520,0.2161,0.3091,0.3476,0.6094,0.8594,1.1933,0.7138,0.6452,0.2707,0.1563,0.0970,0.0560,0.2090,0.1206,0.2438,0.1408
704,16,36812,LC/MS Neg,100001671,5615,435.25171,325465-93-8,5497152,,,Lipids,Phospholipids,1-oleoyl-GPA (18:1),0.0404,0.0404,0.0404,0.0404,0.0404,0.0814,0.0665,0.0404,0.0404,0.2752,0.2796,0.1246,0.0000,0.0000,0.0193,0.0112,0.0123,0.0071,0.0721,0.0416
642,17,48258,LC/MS Pos,100001272,5700,522.35542,19420-56-5,16081932,,,Lipids,Phospholipids,1-oleoyl-GPC (18:1),0.2439,0.2439,0.2439,0.4556,0.7533,0.4370,0.2439,0.2439,0.2439,0.2439,0.6601,0.9871,0.0000,0.0000,0.1449,0.0837,0.0000,0.0000,0.3041,0.1756
643,18,35628,LC/MS Neg,100001569,6125.1,478.29391,89576-29-4,9547071,,,Lipids,Phospholipids,1-oleoyl-GPE (18:1),0.1780,0.1954,0.3866,0.1486,0.1212,0.2015,0.2007,0.4652,0.4459,1.0793,1.0000,0.4936,0.0945,0.0546,0.0333,0.0192,0.1204,0.0695,0.2594,0.1498
